Loan_ID,Customer_ID,Application_Date,Loan_Amount,Loan_Purpose,Interest_Rate,Loan_Term,Income,Employment_Type,Credit_Score,Existing_Loans,Debt_to_Income_Ratio,Application_Status,Default_Status,Repayment_Status,Branch,State,Gender
L100019,C52081,2023-02-23,1242124,Business,12.89,24,152037.0,Self-employed,347.0,4,19.6,Pending,No Default,Missed,Chennai,Tamil Nadu,Male
L100020,C52714,2024-09-15,361646,Education,15.31,36,91503.0,Freelancer,649.0,4,8.7,Approved,No Default,Missed,Mumbai,Tamil Nadu,Male
L100021,C50693,2023-08-04,1986069,Vehicle,7.76,60,192361.0,Self-employed,391.0,5,9.2,Pending,Default,Delayed,Bangalore,Delhi,Female
L100022,C53134,2023-02-10,45338,Home,22.44,36,72914.0,Business Owner,642.0,5,21.7,Approved,No Default,On Time,Mumbai,Karnataka,Male
L100023,C53020,2023-09-14,581045,Business,10.0,12,26472.0,Business Owner,336.0,3,27.5,Pending,Default,Missed,Delhi,Tamil Nadu,Male
L100024,C51352,2023-11-05,307156,Vehicle,19.67,60,171243.0,Self-employed,636.0,5,47.6,Approved,No Default,Missed,Hyderabad,Maharashtra,Male
L100025,C50277,2023-05-07,1406478,Vehicle,7.8,60,196611.0,Business Owner,411.0,1,52.4,Rejected,Default,On Time,Bangalore,Karnataka,Male
L100026,C50337,2024-01-29,103223,Home,10.31,12,51535.0,Business Owner,587.0,0,20.0,Approved,No Default,Delayed,Chennai,Delhi,Female
L100027,C50229,2023-11-07,425619,Home,20.8,12,122186.0,Business Owner,471.0,2,8.9,Pending,Default,On Time,Chennai,Tamil Nadu,Male
L100028,C53028,2023-05-19,668325,Home,22.02,12,67451.0,Self-employed,673.0,3,33.9,Approved,No Default,Delayed,Mumbai,Telangana,Female
L100029,C50959,2024-07-25,792844,Business,16.28,60,168204.0,Business Owner,561.0,1,26.8,Pending,No Default,Delayed,Delhi,Maharashtra,Female
L100030,C53220,2023-12-30,1698003,Business,20.17,36,125276.0,Salaried,464.0,3,14.1,Rejected,Default,On Time,Bangalore,Karnataka,Male
L100031,C50230,2023-12-09,1243448,Vehicle,22.48,36,72292.0,Freelancer,786.0,1,9.4,Approved,No Default,On Time,Bangalore,Telangana,Male
L100032,C52812,2024-12-20,799412,Business,7.62,60,198492.0,Salaried,374.0,2,16.3,Pending,No Default,On Time,Bangalore,Karnataka,Male
L100033,C53139,2024-07-21,210614,Home,17.43,36,23966.0,Freelancer,845.0,1,6.5,Approved,No Default,On Time,Chennai,Tamil Nadu,Female
L100034,C50367,2024-12-27,1198302,Personal,19.63,36,166231.0,Self-employed,772.0,2,11.0,Approved,No Default,Delayed,Chennai,Delhi,Female
L100035,C51516,2024-07-15,1950253,Personal,12.13,12,53501.0,Self-employed,805.0,1,54.1,Rejected,No Default,Delayed,Bangalore,Karnataka,Male
L100036,C51028,2024-08-09,1213435,Home,11.66,60,144748.0,Business Owner,583.0,5,54.5,Pending,No Default,On Time,Delhi,Maharashtra,Female
L100037,C50958,2024-10-23,910401,Business,12.52,24,54926.0,Business Owner,596.0,5,42.6,Approved,No Default,On Time,Delhi,Telangana,Male
L100038,C51552,2023-01-06,1120067,Personal,10.67,36,127508.0,Freelancer,454.0,3,43.9,Rejected,No Default,Missed,Bangalore,Tamil Nadu,Male
L100039,C52314,2024-10-15,1643994,Home,21.24,12,122253.0,Freelancer,335.0,1,58.6,Rejected,No Default,On Time,Bangalore,Tamil Nadu,Female
L100040,C50069,2024-09-11,1678781,Home,8.49,24,159249.0,Self-employed,609.0,3,6.6,Approved,Default,Missed,Chennai,Delhi,Male
L100041,C52174,2023-05-23,1234641,Business,10.46,60,66036.0,Business Owner,429.0,3,48.9,Pending,No Default,Delayed,Delhi,Maharashtra,Male
L100042,C53265,2023-02-21,842406,Business,7.92,12,164769.0,Self-employed,702.0,2,53.2,Pending,No Default,Delayed,Hyderabad,Karnataka,Female
L100043,C50211,2023-05-01,927277,Education,8.89,24,194664.0,Business Owner,627.0,2,19.0,Approved,No Default,Delayed,Hyderabad,Karnataka,Male
L100044,C51965,2024-04-22,1362467,Education,12.33,24,190008.0,Business Owner,791.0,0,34.2,Approved,No Default,Missed,Chennai,Maharashtra,Male
L100045,C50620,2023-12-26,1042386,Education,8.44,12,46694.0,Freelancer,684.0,4,46.3,Approved,No Default,Delayed,Bangalore,Maharashtra,Male
L100046,C53009,2024-02-21,1657894,Vehicle,11.8,24,113905.0,Business Owner,745.0,4,9.9,Approved,No Default,Missed,Chennai,Delhi,Female
L100047,C52680,2023-09-16,1892867,Personal,16.17,12,51302.0,Freelancer,629.0,2,28.5,Approved,No Default,Missed,Chennai,Telangana,Female
L100048,C51807,2023-04-06,1618760,Business,12.33,60,74460.0,Salaried,573.0,4,47.9,Rejected,No Default,On Time,Chennai,Tamil Nadu,Male
L100049,C52521,2024-08-28,1016898,Business,18.38,12,131448.0,Business Owner,410.0,2,53.5,Pending,Default,Missed,Chennai,Delhi,Male
L100050,C53112,2023-09-08,346929,Home,18.7,36,62731.0,Freelancer,577.0,4,9.4,Rejected,No Default,Missed,Chennai,Tamil Nadu,Male
L100051,C52172,2023-01-29,368325,Education,13.34,12,106497.0,Freelancer,668.0,2,54.3,Rejected,No Default,Delayed,Chennai,Karnataka,Female
L100052,C51801,2023-08-12,1937270,Home,21.19,60,187573.0,Salaried,585.0,2,11.6,Approved,No Default,Delayed,Chennai,Maharashtra,Male
L100053,C51486,2024-07-21,111833,Business,17.2,36,93498.0,Business Owner,652.0,2,44.8,Approved,No Default,Missed,Chennai,Delhi,Male
L100054,C52880,2023-07-30,506803,Home,22.12,36,38621.0,Salaried,399.0,1,21.2,Rejected,No Default,Delayed,Mumbai,Delhi,Female
L100055,C53454,2023-08-17,318224,Personal,14.06,12,180698.0,Self-employed,626.0,5,46.1,Approved,No Default,Delayed,Mumbai,Tamil Nadu,Male
L100056,C52847,2024-08-28,22769,Business,7.99,24,61884.0,Freelancer,341.0,3,49.7,Pending,Default,Missed,Mumbai,Maharashtra,Female
L100057,C50655,2023-06-08,821601,Personal,13.73,60,76578.0,Salaried,766.0,1,35.8,Approved,No Default,Delayed,Bangalore,Karnataka,Female
L100058,C51776,2024-11-11,30362,Education,9.65,24,177598.0,Freelancer,420.0,5,24.7,Pending,Default,Delayed,Delhi,Telangana,Female
L100059,C53372,2024-07-03,1585641,Education,15.54,60,83969.0,Self-employed,408.0,0,50.5,Pending,Default,Missed,Delhi,Maharashtra,Female
L100060,C51056,2024-04-16,975752,Business,16.64,60,85527.0,Business Owner,631.0,2,57.9,Pending,No Default,Missed,Mumbai,Delhi,Female
L100061,C51609,2023-04-13,1287225,Education,17.24,12,140918.0,Salaried,415.0,3,8.8,Pending,Default,On Time,Chennai,Telangana,Male
L100062,C52890,2023-10-06,270989,Personal,12.17,60,45468.0,Self-employed,717.0,1,52.6,Rejected,No Default,On Time,Mumbai,Tamil Nadu,Female
L100063,C50814,2023-11-11,1703459,Vehicle,14.41,12,98279.0,Self-employed,707.0,1,13.5,Approved,No Default,Delayed,Mumbai,Tamil Nadu,Female
L100064,C50311,2023-04-02,636564,Education,14.23,36,89323.0,Business Owner,802.0,4,54.1,Pending,Default,On Time,Delhi,Tamil Nadu,Male
L100065,C53069,2024-09-01,48763,Education,10.07,12,190932.0,Salaried,494.0,2,36.9,Rejected,Default,Delayed,Bangalore,Tamil Nadu,Female
L100066,C52770,2024-04-14,1440106,Business,10.17,60,47675.0,Freelancer,658.0,0,7.3,Approved,No Default,Delayed,Chennai,Delhi,Male
L100067,C53371,2024-09-08,506040,Personal,14.07,36,83617.0,Business Owner,536.0,5,50.5,Pending,Default,Delayed,Mumbai,Tamil Nadu,Female
L100068,C51136,2023-09-21,62807,Education,12.44,12,70453.0,Self-employed,319.0,2,16.9,Rejected,Default,On Time,Hyderabad,Tamil Nadu,Male
L100069,C50499,2023-09-14,711048,Business,16.59,36,182067.0,Freelancer,336.0,5,36.7,Pending,Default,Missed,Hyderabad,Tamil Nadu,Female
L100070,C50297,2024-02-22,1116878,Education,21.54,36,40068.0,Salaried,687.0,5,25.1,Approved,No Default,Missed,Bangalore,Maharashtra,Male
L100071,C53030,2024-02-06,494378,Personal,14.18,12,92641.0,Freelancer,617.0,4,54.1,Pending,Default,Missed,Delhi,Karnataka,Female
L100072,C53119,2024-12-06,1509245,Business,17.23,60,164249.0,Self-employed,546.0,0,25.3,Rejected,No Default,On Time,Mumbai,Karnataka,Male
L100073,C50229,2023-05-13,1085293,Education,13.13,24,160254.0,Business Owner,439.0,3,37.1,Rejected,No Default,On Time,Bangalore,Tamil Nadu,Female
L100074,C50888,2024-08-11,1866225,Education,13.52,12,165972.0,Freelancer,833.0,5,8.0,Approved,No Default,On Time,Bangalore,Tamil Nadu,Female
L100075,C52695,2023-12-18,1010723,Education,20.56,24,164788.0,Self-employed,522.0,0,32.9,Rejected,Default,Missed,Delhi,Delhi,Male
L100076,C51973,2024-04-01,294374,Business,18.14,60,178319.0,Business Owner,681.0,2,41.3,Approved,No Default,Delayed,Mumbai,Telangana,Female
L100077,C52459,2024-04-08,214030,Business,17.7,36,80917.0,Freelancer,407.0,5,42.3,Pending,No Default,On Time,Delhi,Telangana,Female
L100078,C52866,2023-05-28,631211,Education,15.4,36,28215.0,Self-employed,445.0,2,8.9,Rejected,No Default,Missed,Mumbai,Tamil Nadu,Male
L100079,C53199,2024-04-21,1360959,Vehicle,21.49,36,185763.0,Freelancer,606.0,1,48.3,Approved,No Default,Missed,Hyderabad,Karnataka,Female
L100080,C50056,2023-07-11,1445331,Business,10.15,60,77788.0,Business Owner,544.0,3,37.7,Rejected,No Default,Delayed,Bangalore,Maharashtra,Male
L100081,C50182,2023-08-22,1196223,Vehicle,14.73,60,70149.0,Salaried,660.0,2,42.6,Approved,No Default,Missed,Bangalore,Karnataka,Female
L100082,C51166,2023-02-23,836199,Home,18.18,60,94023.0,Salaried,543.0,4,14.5,Rejected,Default,On Time,Mumbai,Maharashtra,Female
L100083,C52903,2024-03-25,1424899,Vehicle,15.73,36,186317.0,Business Owner,380.0,3,19.1,Pending,No Default,On Time,Bangalore,Tamil Nadu,Female
L100084,C50827,2024-09-19,1483525,Business,10.82,36,189361.0,Salaried,841.0,1,45.2,Approved,No Default,Delayed,Mumbai,Maharashtra,Male
L100085,C51537,2024-04-06,1165868,Vehicle,20.53,24,142680.0,Freelancer,516.0,3,12.1,Rejected,No Default,Missed,Delhi,Maharashtra,Male
L100086,C50194,2024-06-06,776468,Vehicle,13.93,60,184823.0,Freelancer,441.0,5,34.8,Pending,Default,Missed,Chennai,Tamil Nadu,Male
L100087,C50932,2023-05-28,1918619,Education,13.8,24,78323.0,Self-employed,466.0,0,19.6,Rejected,No Default,Missed,Chennai,Maharashtra,Male
L100088,C51765,2024-05-22,342732,Vehicle,15.65,60,199011.0,Salaried,494.0,1,7.4,Rejected,Default,Missed,Delhi,Maharashtra,Male
L100089,C51463,2023-01-07,451016,Vehicle,12.03,12,167730.0,Self-employed,725.0,1,26.3,Approved,No Default,Missed,Hyderabad,Tamil Nadu,Male
L100090,C51109,2024-06-11,1541778,Vehicle,17.1,36,21936.0,Freelancer,383.0,3,51.5,Rejected,No Default,Missed,Bangalore,Telangana,Female
L100091,C52142,2024-07-03,1212616,Education,13.02,60,181993.0,Freelancer,805.0,1,59.7,Pending,No Default,On Time,Chennai,Tamil Nadu,Female
L100092,C52523,2023-09-21,92179,Personal,20.13,36,42681.0,Salaried,760.0,2,58.7,Rejected,No Default,Missed,Mumbai,Tamil Nadu,Female
L100093,C51166,2023-02-03,1263551,Education,18.49,24,135617.0,Freelancer,740.0,2,21.6,Approved,No Default,On Time,Bangalore,Delhi,Female
L100094,C52863,2023-08-21,1990728,Personal,15.53,60,93915.0,Freelancer,466.0,2,19.8,Rejected,No Default,Missed,Delhi,Delhi,Male
L100095,C50975,2024-06-13,1099074,Business,19.82,60,107048.0,Business Owner,689.0,3,45.6,Approved,No Default,Delayed,Chennai,Maharashtra,Male
L100096,C50917,2024-08-22,920310,Vehicle,11.35,12,70402.0,Freelancer,331.0,3,16.8,Rejected,No Default,Delayed,Bangalore,Karnataka,Male
L100097,C51373,2023-03-13,252762,Education,17.9,36,122104.0,Self-employed,440.0,4,13.6,Pending,Default,On Time,Mumbai,Maharashtra,Female
L100098,C53405,2023-06-26,1666859,Business,10.46,12,52266.0,Salaried,677.0,0,31.9,Approved,No Default,Missed,Bangalore,Maharashtra,Female
L100099,C52923,2023-04-09,694320,Personal,21.86,60,62529.0,Business Owner,353.0,4,18.4,Rejected,No Default,On Time,Chennai,Tamil Nadu,Female
L100120,C50086,2024-01-10,801011,Education,17.06,12,129762.0,Business Owner,564.0,2,33.7,Rejected,No Default,Missed,Mumbai,Telangana,Female
L100120,C52472,2024-12-20,789533,Personal,9.6,36,145047.0,Business Owner,342.0,4,50.6,Pending,Default,Missed,Hyderabad,Tamil Nadu,Male
L100120,C52044,2024-12-18,1749698,Personal,16.0,24,36078.0,Business Owner,567.0,1,7.0,Pending,Default,Missed,Hyderabad,Maharashtra,Male
L100120,C50096,2024-02-20,634522,Personal,20.58,12,197577.0,Salaried,675.0,3,22.2,Approved,No Default,Delayed,Delhi,Tamil Nadu,Male
L100120,C51403,2024-05-05,1587430,Education,18.7,60,40495.0,Freelancer,547.0,5,38.2,Pending,No Default,Delayed,Bangalore,Karnataka,Male
L100120,C51505,2023-12-20,332353,Home,22.29,12,86613.0,Freelancer,652.0,2,40.0,Approved,No Default,Missed,Bangalore,Maharashtra,Female
L100120,C52325,2023-05-14,210159,Education,22.32,60,43351.0,Self-employed,349.0,4,6.4,Pending,Default,On Time,Hyderabad,Maharashtra,Female
L100120,C52225,2024-09-21,1308063,Vehicle,20.0,12,164587.0,Self-employed,773.0,3,47.6,Approved,Default,Missed,Mumbai,Delhi,Male
L100120,C51826,2023-03-21,1723329,Home,13.06,36,197649.0,Freelancer,354.0,3,48.5,Rejected,No Default,On Time,Delhi,Karnataka,Male
L100120,C53250,2024-10-19,164570,Personal,19.92,36,190257.0,Salaried,825.0,4,24.5,Approved,No Default,Delayed,Bangalore,Maharashtra,Male
L100120,C51314,2024-06-29,1645872,Education,14.51,36,162376.0,Freelancer,781.0,2,39.4,Approved,No Default,Missed,Bangalore,Delhi,Female
L100120,C50441,2023-12-18,1422156,Vehicle,15.13,12,65374.0,Salaried,846.0,1,5.4,Approved,No Default,On Time,Bangalore,Delhi,Male
L100120,C50229,2024-04-01,1980569,Personal,9.98,24,134004.0,Business Owner,564.0,3,50.1,Pending,Default,Missed,Mumbai,Tamil Nadu,Female
L100120,C52173,2024-11-23,1503480,Vehicle,15.61,36,68142.0,Business Owner,642.0,3,23.6,Approved,No Default,Missed,Chennai,Tamil Nadu,Female
L100120,C52403,2023-09-25,579646,Education,12.23,24,37706.0,Business Owner,499.0,3,22.1,Pending,No Default,Missed,Hyderabad,Tamil Nadu,Female
L100120,C52201,2024-02-11,1411551,Home,8.58,60,189169.0,Freelancer,490.0,0,7.8,Rejected,No Default,Delayed,Mumbai,Karnataka,Female
L100120,C51425,2024-09-12,854619,Vehicle,18.68,60,134998.0,Business Owner,673.0,2,19.5,Approved,No Default,On Time,Chennai,Karnataka,Female
L100120,C52261,2024-01-09,1697963,Vehicle,12.64,36,103499.0,Self-employed,635.0,1,46.7,Approved,No Default,On Time,Delhi,Delhi,Female
L100120,C51223,2023-04-27,1272335,Vehicle,14.16,12,190062.0,Self-employed,607.0,3,33.7,Approved,No Default,Delayed,Bangalore,Delhi,Male
L100120,C51432,2024-03-20,33853,Vehicle,15.73,12,103124.0,Self-employed,435.0,1,48.7,Pending,No Default,Delayed,Mumbai,Karnataka,Female
L100120,C51365,2023-07-05,1942772,Personal,19.92,12,101687.0,Self-employed,810.0,4,40.9,Approved,No Default,Delayed,Mumbai,Karnataka,Male
L100120,C51423,2024-08-26,1354955,Personal,16.26,24,68635.0,Freelancer,775.0,2,22.2,Approved,No Default,Missed,Chennai,Maharashtra,Male
L100120,C53314,2024-09-18,611334,Home,21.16,12,22135.0,Freelancer,324.0,1,36.8,Rejected,No Default,Delayed,Mumbai,Telangana,Female
L100120,C52591,2023-06-14,1854912,Business,12.9,60,54675.0,Freelancer,663.0,2,36.5,Approved,No Default,Missed,Delhi,Tamil Nadu,Male
L100120,C53222,2024-12-18,1144236,Business,13.4,24,188009.0,Salaried,335.0,3,40.3,Pending,No Default,Delayed,Hyderabad,Delhi,Female
L100120,C50228,2024-03-23,1819031,Business,16.2,24,102381.0,Business Owner,731.0,4,26.7,Approved,No Default,Delayed,Hyderabad,Karnataka,Male
L100120,C52794,2023-11-03,164325,Vehicle,14.84,24,58493.0,Salaried,802.0,3,44.0,Approved,No Default,Delayed,Mumbai,Delhi,Female
L100120,C53474,2023-03-25,1099785,Business,19.39,60,194806.0,Business Owner,759.0,0,48.3,Approved,Default,On Time,Delhi,Delhi,Male
L100120,C52982,2023-09-22,1272618,Education,8.27,36,137727.0,Freelancer,421.0,4,47.8,Rejected,Default,Missed,Mumbai,Maharashtra,Male
L100120,C51951,2024-06-06,1547793,Vehicle,18.18,36,189711.0,Self-employed,617.0,5,22.4,Approved,Default,On Time,Delhi,Karnataka,Male
L100120,C51076,2023-07-13,836269,Education,8.06,60,146218.0,Business Owner,669.0,4,48.0,Approved,No Default,Delayed,Bangalore,Delhi,Male
L100120,C50033,2024-09-05,39411,Vehicle,14.87,24,46490.0,Business Owner,329.0,4,24.0,Pending,No Default,On Time,Delhi,Telangana,Male
L100120,C50592,2024-01-13,1981355,Home,15.42,12,161879.0,Freelancer,412.0,0,14.1,Rejected,No Default,Delayed,Chennai,Tamil Nadu,Female
L100120,C50675,2023-01-24,107720,Home,20.77,60,82795.0,Salaried,692.0,5,15.5,Approved,No Default,On Time,Hyderabad,Delhi,Female
L100120,C51063,2024-04-17,1115853,Business,14.99,12,93450.0,Salaried,444.0,3,41.4,Pending,Default,Missed,Chennai,Telangana,Male
L100120,C52097,2024-08-28,170448,Vehicle,15.97,24,172835.0,Salaried,536.0,5,18.2,Pending,No Default,Missed,Mumbai,Telangana,Female
L100120,C51203,2023-12-20,1133063,Vehicle,17.58,36,33333.0,Business Owner,328.0,5,39.7,Rejected,Default,On Time,Mumbai,Delhi,Male
L100120,C50367,2023-06-14,610191,Personal,11.04,60,70610.0,Freelancer,383.0,0,26.5,Pending,No Default,On Time,Chennai,Maharashtra,Male
L100120,C51871,2023-10-07,1910047,Personal,13.22,24,180710.0,Business Owner,333.0,3,47.2,Pending,No Default,On Time,Bangalore,Telangana,Female
L100120,C52380,2024-06-29,1258908,Vehicle,19.56,60,171038.0,Business Owner,369.0,5,39.3,Rejected,No Default,Delayed,Delhi,Delhi,Female
L100120,C50918,2023-08-25,1231684,Personal,15.78,24,83185.0,Salaried,840.0,5,13.6,Approved,Default,On Time,Bangalore,Karnataka,Male
L100120,C52817,2023-07-01,1577683,Personal,15.9,24,98952.0,Salaried,363.0,3,10.4,Rejected,No Default,Missed,Bangalore,Tamil Nadu,Male
L100120,C52125,2023-01-14,1204004,Vehicle,19.47,60,93569.0,Salaried,542.0,3,10.8,Rejected,Default,Delayed,Bangalore,Karnataka,Female
L100120,C52586,2023-12-23,995154,Business,19.31,60,85535.0,Self-employed,482.0,5,58.5,Pending,Default,Missed,Mumbai,Delhi,Male
L100120,C53477,2024-12-24,1706613,Personal,18.91,12,124756.0,Freelancer,562.0,4,37.9,Pending,No Default,On Time,Bangalore,Telangana,Male
L100120,C52712,2024-06-08,127307,Vehicle,13.97,60,48265.0,Business Owner,553.0,2,25.4,Rejected,Default,Delayed,Chennai,Maharashtra,Female
L100120,C50728,2024-11-26,1883675,Home,21.46,36,80704.0,Self-employed,339.0,4,31.5,Pending,Default,On Time,Hyderabad,Telangana,Male
L100120,C50767,2024-09-04,1154048,Vehicle,21.13,36,61732.0,Business Owner,572.0,2,54.1,Pending,No Default,Delayed,Delhi,Telangana,Male
L100120,C50783,2023-01-16,968810,Education,16.54,36,63096.0,Business Owner,622.0,0,40.7,Approved,Default,On Time,Chennai,Telangana,Female
L100120,C50238,2024-05-26,381647,Personal,13.16,12,43005.0,Freelancer,790.0,4,7.8,Approved,No Default,Missed,Mumbai,Karnataka,Male
L100150,C52205,2024-10-25,1352044,Education,13.15,24,28411.0,Freelancer,811.0,5,9.5,Approved,No Default,Delayed,Mumbai,Maharashtra,Female
L100151,C51822,2023-09-22,70689,Business,13.42,60,57480.0,Salaried,354.0,2,31.8,Pending,No Default,On Time,Hyderabad,Karnataka,Female
L100152,C51789,2023-10-25,1347530,Education,21.93,60,192787.0,Freelancer,689.0,4,31.1,Approved,No Default,Missed,Mumbai,Delhi,Male
L100153,C52919,2024-03-14,1597955,Business,20.59,24,178347.0,Freelancer,568.0,3,29.9,Rejected,Default,On Time,Hyderabad,Telangana,Female
L100154,C53008,2024-07-23,424361,Education,10.7,36,104549.0,Freelancer,848.0,3,57.9,Pending,No Default,Missed,Bangalore,Tamil Nadu,Male
L100155,C51029,2023-06-27,1632880,Personal,15.68,60,55350.0,Business Owner,339.0,5,59.9,Rejected,No Default,Missed,Delhi,Telangana,Male
L100156,C52324,2023-11-03,1312012,Vehicle,18.31,12,146562.0,Salaried,797.0,3,41.7,Approved,No Default,Missed,Chennai,Karnataka,Male
L100157,C50910,2024-03-01,351827,Home,15.37,60,21941.0,Freelancer,350.0,4,55.5,Rejected,Default,On Time,Delhi,Telangana,Female
L100158,C51324,2023-10-10,723927,Vehicle,21.29,36,142485.0,Self-employed,591.0,1,19.4,Approved,No Default,On Time,Delhi,Karnataka,Male
L100159,C52172,2024-09-24,1665887,Personal,17.05,24,37781.0,Self-employed,771.0,0,20.9,Approved,Default,Missed,Chennai,Maharashtra,Female
L100160,C53245,2024-05-18,938807,Home,11.61,12,167393.0,Self-employed,324.0,2,5.8,Rejected,Default,Delayed,Hyderabad,Delhi,Male
L100161,C51432,2023-03-25,1453886,Business,18.38,60,112224.0,Business Owner,745.0,0,55.7,Pending,No Default,Missed,Chennai,Karnataka,Female
L100162,C52930,2023-04-22,1080670,Home,14.55,36,177011.0,Business Owner,437.0,0,30.0,Rejected,No Default,Missed,Hyderabad,Tamil Nadu,Male
L100163,C51798,2024-01-18,1133584,Home,7.55,60,186588.0,Self-employed,622.0,2,32.0,Approved,No Default,On Time,Bangalore,Telangana,Male
L100164,C51249,2023-08-11,346424,Home,10.87,36,120418.0,Business Owner,835.0,5,9.4,Approved,No Default,Delayed,Bangalore,Karnataka,Female
L100165,C50867,2023-05-05,743481,Education,21.19,36,142401.0,Freelancer,496.0,0,50.9,Pending,Default,Delayed,Bangalore,Karnataka,Male
L100166,C50690,2023-02-12,813535,Education,18.87,12,156661.0,Salaried,462.0,0,34.6,Pending,No Default,Delayed,Mumbai,Delhi,Male
L100167,C53365,2024-04-29,1713843,Business,15.02,12,23898.0,Freelancer,481.0,1,17.2,Rejected,No Default,Delayed,Delhi,Maharashtra,Male
L100168,C50683,2024-10-19,1126152,Business,13.82,36,122337.0,Freelancer,512.0,3,50.0,Rejected,Default,Missed,Delhi,Karnataka,Male
L100169,C50181,2024-02-12,700435,Vehicle,9.33,24,111409.0,Business Owner,495.0,4,19.0,Rejected,No Default,Delayed,Chennai,Telangana,Female
L100170,C52816,2023-04-01,1595599,Education,10.91,24,133537.0,Self-employed,656.0,4,6.4,Approved,No Default,Delayed,Chennai,Delhi,Male
L100171,C50948,2024-06-30,236896,Business,19.09,12,179280.0,Business Owner,675.0,3,22.9,Approved,No Default,Missed,Mumbai,Delhi,Male
L100172,C51311,2024-06-11,560400,Home,8.49,36,133626.0,Self-employed,716.0,0,55.0,Pending,No Default,Missed,Bangalore,Maharashtra,Female
L100173,C50577,2023-09-12,1378809,Business,17.62,24,33091.0,Business Owner,426.0,3,59.3,Pending,Default,Missed,Mumbai,Delhi,Female
L100174,C53204,2024-06-02,1804716,Personal,20.97,60,33131.0,Business Owner,367.0,4,28.8,Rejected,Default,Missed,Chennai,Tamil Nadu,Female
L100175,C52500,2023-11-24,1067798,Education,19.3,24,87712.0,Freelancer,715.0,5,30.9,Approved,No Default,Delayed,Mumbai,Telangana,Female
L100176,C50425,2024-11-12,197364,Education,12.27,24,129937.0,Self-employed,367.0,4,26.6,Rejected,Default,Missed,Mumbai,Telangana,Male
L100177,C53304,2024-01-17,128657,Home,12.16,36,27092.0,Self-employed,720.0,1,5.5,Approved,No Default,Missed,Mumbai,Karnataka,Male
L100178,C52033,2023-05-06,1133517,Home,8.42,12,164100.0,Salaried,319.0,0,58.8,Rejected,No Default,Missed,Delhi,Tamil Nadu,Male
